CODE;PRODUCTO;TIPO_CARROCERIA;COMBUSTIBLE;Potencia_;TRANS;FORMA_PAGO;ESTADO_CIVIL;GENERO;OcupaciOn;PROVINCIA;Campanna1;Campanna2;Campanna3;Zona _Renta;REV_Garantia;Averia_grave;QUEJA_CAC;COSTE_VENTA;km_anno;Revisiones;Edad Cliente
CLIN6865;D;TIPO1;FUEL 2;Media;M;Contado;CASADO;M;Empresa;Alicante;NO;NO;NO;NA;SI;Averia muy grave;SI;9100;9086;4;47
CLIN6866;D;TIPO1;FUEL 2;Media;M;Contado;CASADO;M;Empresa;La Rioja;NO;NO;NO;Alto;NO DATA;Averia muy grave;SI;11051;0;4;56
CLIN6867;D;TIPO1;FUEL 2;Media;M;Financiera Banco;CASADO;F;Empresa;Madrid;SI;NO;NO;NA;SI;Averia leve;NO;5037;28883;2;39
CLIN6868;D;TIPO1;FUEL 2;Media;M;Contado;CASADO;M;Empresa;Lacoruna;SI;SI;NO;Medio;SI;Averia muy grave;SI;5037;10672;4;58
CLIN6869;D;TIPO1;FUEL 1;Alta;M;Contado;SOLTERO;F;Empresa;Vizcaya;NO;NO;NO;Alto;SI;No;NO;2267;9447;4;46
CLIN6870;D;TIPO1;FUEL 1;Alta;M;Contado;CASADO;M;Empresa;Sevilla;NO;NO;NO;Alto;SI;No;NO;1259;4958;4;38
CLIN6871;D;TIPO1;FUEL 1;Alta;M;Contado;CASADO;M;Funcionario;Vizcaya;SI;NO;NO;Alto;SI;No;NO;5037;24256;3;50
CLIN6872;D;TIPO1;FUEL 1;Alta;M;Contado;CASADO;M;Empresa;Leon;NO;SI;NO;NA;NO DATA;No;NO;2939;11761;3;41
CLIN6873;D;TIPO1;FUEL 1;Alta;M;Otros;CASADO;M;Empresa;Pontevedra;NO;SI;NO;Medio-Bajo;NO DATA;No;NO;5738;2676;2;57
CLIN6874;D;TIPO1;FUEL 1;Alta;A;Otros;CASADO;M;Empresa;Barcelona;NO;NO;NO;Alto;NO DATA;No;NO;4841;11294;4;37
CLIN6875;D;TIPO1;FUEL 1;Alta;A;Otros;CASADO;F;Empresa;Zaragoza;SI;NO;NO;Medio-Bajo;NO DATA;No;NO;8366;0;4;23
CLIN6876;D;TIPO8;FUEL 2;Alta;M;Contado;CASADO;M;Empresa;Madrid;NO;SI;NO;Alto;NO DATA;No;NO;5824;23816;4;62
CLIN6877;D;TIPO8;FUEL 2;Alta;M;Contado;CASADO;M;Empresa;Barcelona;SI;NO;NO;Alto;SI;Averia muy grave;SI;0;6218;2;52
CLIN6878;D;TIPO8;FUEL 2;Media;M;Contado;CASADO;M;Autonomo;Tarragona;NO;SI;NO;Medio-Bajo;NO DATA;Averia grave;SI;9342;20021;4;37
CLIN6879;D;TIPO8;FUEL 2;Media;M;Contado;SOLTERO;M;Empresa;Leon;NO;SI;NO;Medio-Bajo;NO DATA;Averia muy grave;SI;8482;18144;3;39
