CODE,PRODUCTO,TIPO_CARROCERIA,COMBUSTIBLE,Potencia_,TRANS,FORMA_PAGO,ESTADO_CIVIL,GENERO,OcupaciOn,PROVINCIA,Campanna1,Campanna2,Campanna3,Zona _Renta,REV_Garantia,Averia_grave,QUEJA_CAC,EDAD_COCHE,COSTE_VENTA,km_anno,Mas_1_coche,Edad Cliente
446,0,0,0,1,1,3,0,1,0,28,0,0,0,0,0,2,1,2.02,1362,0,1,18
557,0,0,0,1,1,2,4,0,1,41,1,0,0,3,1,3,0,2.43,3168,4105,1,42
668,0,0,0,1,1,2,0,0,2,31,1,0,0,0,1,3,0,2.35,1560,13844,1,61
779,0,0,0,1,1,0,4,0,1,48,0,0,0,0,0,2,1,2.27,1376,0,1,29
890,0,0,0,1,1,0,0,0,1,41,0,0,0,0,1,2,1,2.39,1818,6847,0,23
1001,0,0,0,1,1,3,0,0,1,41,1,0,0,2,0,3,0,2.27,3555,0,1,22
1113,0,0,0,1,1,3,4,1,1,7,1,0,0,3,1,2,1,2.46,2892,10025,1,39
1224,0,0,0,1,1,2,4,0,1,39,1,0,0,3,1,3,0,2.29,2015,5622,0,38
1335,0,0,0,1,1,2,0,1,1,7,1,0,1,1,0,2,1,1.7,1590,0,0,26
1446,0,0,0,1,1,2,4,0,1,25,0,0,1,3,0,3,0,1.83,2169,0,0,30
1557,0,0,0,1,1,2,0,1,1,19,1,0,0,0,0,2,1,2.01,2228,0,0,28
1668,0,0,0,1,1,2,0,0,1,2,1,0,0,0,1,2,1,2.33,2015,8339,0,59
1779,0,0,0,1,1,3,0,1,1,41,0,0,0,3,1,3,0,2.26,2727,35494,1,44
1890,0,0,0,1,1,2,2,0,1,8,1,0,0,0,0,3,0,2.44,3850,0,1,28
2001,0,0,0,1,1,2,2,0,1,8,1,0,0,0,1,2,1,2.29,2015,10339,0,53
2112,0,0,0,1,1,3,4,1,1,41,0,0,0,0,0,1,0,1.85,2031,0,1,22
2224,0,0,0,1,1,2,4,1,2,41,1,0,0,3,0,1,0,2.1,2456,0,0,21
2335,0,0,0,1,1,3,4,0,2,41,0,0,0,3,0,3,0,2.11,1818,0,0,22
2446,0,0,0,1,1,2,4,0,1,7,1,0,0,3,0,2,1,2.31,2015,0,0,23
2557,0,0,0,1,1,2,4,0,1,28,1,0,0,1,0,3,0,1.96,2670,0,0,29
2668,0,0,0,1,1,2,0,0,1,7,1,0,0,2,0,3,0,1.93,2228,0,0,27
2779,0,0,0,1,1,0,4,0,1,8,0,0,0,1,0,2,1,1.67,1590,0,0,29
2890,0,0,0,1,1,2,0,0,1,7,1,0,1,0,1,2,1,2.52,3271,9477,1,48
